Title,Text,Summary
BJP's virtual political campaign,"NEW DELHI: Coming to terms with new work order amid Covid-19 pandemic restrictions, the BJP is now turning to full throttle online political campaign through its social media platforms.From May 30 onwards, a massive online campaign will be launched on the occasion of the first anniversary of the Modi-2 government in which senior leaders will hold interactive conferences, talking about the new slogan “atm-nirbhar” Bharat and also the relief package announced by the government to combat aftershocks of the Corona crisis.The digital infrastructure with the party organisation already laid up to the district and block levels is set to come handy in the campaign as people in the virus affected areas will be reached out virtually, while block level party workers will meet people physically.Party president JP Nadda will hold a virtual rally while inaugurating the campaign on May 30, which will be live-streamed through party’s different social media platforms.The party will also organise around 1,000 virtual conferences which would be attended by the national and state leaderships . The BJP-led NDA under Modi had assumed office on May 30, 2019 after a comprehensive win in the Lok Sabha elections.During the campaign, party has decided to take a copy of PM’s handwritten letter to 10 crore households across the country. The letter is expected to carry the message of making India self-reliant. The letter will also carry PM Modi's suggestions about combating the coronavirus disease and also the work done by his government to contain the deadly contagious virus.“At least one big rally in smaller states and two rallies in bigger states will be organised by the party which will be attended by more than 750 people,"" a party leader said. Besides, party will release a video of the Modi government's work to combat the coronavirus outbreak. The video will be translated and dubbed in local languages too.Prior to the campaign, party has already been holding virtual events in its bid to counter opposition allegations over management of the corona crisis.Finance Minister Nirmala Sitharaman, Law and I&T minister Ravi Shankar Prasad, Railways Minister Piyush Goyal and health minister Harshvardhan recently interacted with party spokesperson through video conference addressing the issues raised by the opposition parties.Party president Nadda had recently launched a website urging people to post their thank you messages for ""Corona Warriors”, who are working during the lockdown imposed to control the spread of coronavirus.","The BJP-led NDA under Modi had assumed office on May 30, 2019 after a comprehensive win in the Lok Sabha elections.During the campaign, party has decided to take a copy of PM’s handwritten letter to 10 crore households across the country.
The letter is expected to carry the message of making India self-reliant.
The letter will also carry PM Modi's suggestions about combating the coronavirus disease and also the work done by his government to contain the deadly contagious virus.“At least one big rally in smaller states and two rallies in bigger states will be organised by the party which will be attended by more than 750 people,"" a party leader said.
Besides, party will release a video of the Modi government's work to combat the coronavirus outbreak.
The video will be translated and dubbed in local languages too.Prior to the campaign, party has already been holding virtual events in its bid to counter opposition allegations over management of the corona crisis.Finance Minister Nirmala Sitharaman, Law and I&T minister Ravi Shankar Prasad, Railways Minister Piyush Goyal and health minister Harshvardhan recently interacted with party spokesperson through video conference addressing the issues raised by the opposition parties.Party president Nadda had recently launched a website urging people to post their thank you messages for ""Corona Warriors”, who are working during the lockdown imposed to control the spread of coronavirus."
Political crisis in Manipur: Top developments,"NEW DELHI: In a fast-paced political development in Manipur , Congress legislative party leader O Ibobi Singh on Thursday said his party is trying to form a government and will soon move a no-confidence motion against the N Biren Singh dispensation.

This comes after the resignation of nine members of the BJP-led coalition, including four ministers

Here are the top developments:

HC directs speaker not to pronounce order on Cong defectors

* The Manipur high court on Thursday directed speaker of the Legislative Assembly not to pronounce any order on the pending disqualification cases of seven defector Congress MLAs, who had crossed over to the BJP earlier, till Friday.

* It may be noted that election for the lone Rajya Sabha seat from Manipur is scheduled to be held on June 19 at the premises of Manipur Legislative Assembly.

* The Manipur HC through an earlier order has restricted the seven defecting Congress MLAs from entering into the state assembly till the pronouncement of the order by the Speaker.

* The BJP and the Congress have put up candidates for the only seat of the upper house of Parliament from Manipur.

Congress writes to governor, asks for a special assembly session

* Ibobi Singh, a former chief minister, has written to the governor, requesting him to call a special Assembly session to adopt a resolution on 'No Confidence Motion' against chief minister N Biren Singh's government and to invite the newly formed Secular Progressive Front to form the government.

* The shift in the political equilibrium in the 60-member house has come ahead of the Rajya Sabha election on Friday in which BJP is fielding the titular king of Manipur Leishmba Sanajaoba as its candidate.

Notice for removal of speaker

* The opposition Congress also served a notice for the removal of speaker Y Khemchand as the party emerged stronger after the rebellion of nine MLAs of the ruling BJP-led coalition.

* Congress MLA K Meghachandra submitted the notice to the secretary of the Manipur Legislative Assembly under Article 179 (c) of the Constitution. Article 179(c) provides that a speaker (or deputy speaker) may be removed from his office by a resolution of the Assembly passed by a majority of all the then members of the Assembly.

* Claiming the support of 10 members including former deputy chief minister Y Joykumar Singh of the NPP, Meghachandra urged for the acceptance of the notice.

* He said the next date for proceedings regarding the disqualification of seven Congress MLAs was fixed by the Speaker on June 22. However, by a communication released on social media at 11pm on Wednesday, it was preponed to June 18 without reasonable cause or explanation, he alleged.

MLAs facing anti-defection cases

* The seven Congress MLAs, who had crossed over to the BJP, are facing anti-defection cases under the 10th Schedule of the Constitution in the speaker's Tribunal as well as in the high court of Manipur.

BJP not taking action against MLAs

* BJP Manipur-incharge Prahlad Singh Patel said that neither the party nor the legislative assembly has taken action on the resignation of the three BJP MLAs from Manipur as of now. We have an alliance government. The NPP has taken back its support but still, we have the numbers, he said.

* Four ministers, including the deputy chief minister, quit the BJP-led N Biren Singh government on Wednesday. Tribal and hills area development minister N Kayishii, youth affairs and sports minister Letpao Haokip , and health minister L Jayanta Kumar Singh resigned.

* Besides, BJP MLAs S Subhashchandra Singh, TT Haokip and Samuel Jendai resigned from the assembly and the party, following which the Congress claimed they have switched over. Further, the state's lone Trinamool Congress MLA T Robindro and Independent Shahabuddin withdrew support from the government.

Assembly status

* The total strength against the chief minister is now 29 -- 20 from Congress, 4 from NPP, 3 from BJP (who quit on Wednesday), one from TMC and an Independent.

* The figure in support of Biren Singh stood at 23, including 18 BJP MLAs, four of Naga People's Front (NPF) and one MLA from LJP.

* One Congress MLA who joined the BJP-led government was disqualified from the membership of Manipur Legislative Assembly recently, reducing the strength of the house to 59. Assembly election in Manipur was held in 2017.

* In 2017, Congress won 28 seats, while BJP got 21 seats and formed the government with 33 legislatures—four MLAs each from NPP and NPF and one each from TMC, LJP and an Independent in addition to a Congress legislature, who defected from the party.

(With agency inputs)

","NEW DELHI: In a fast-paced political development in Manipur , Congress legislative party leader O Ibobi Singh on Thursday said his party is trying to form a government and will soon move a no-confidence motion against the N Biren Singh dispensation.
* It may be noted that election for the lone Rajya Sabha seat from Manipur is scheduled to be held on June 19 at the premises of Manipur Legislative Assembly.
* The BJP and the Congress have put up candidates for the only seat of the upper house of Parliament from Manipur.
* Congress MLA K Meghachandra submitted the notice to the secretary of the Manipur Legislative Assembly under Article 179 (c) of the Constitution.
* One Congress MLA who joined the BJP-led government was disqualified from the membership of Manipur Legislative Assembly recently, reducing the strength of the house to 59."
Politics sullies corona warriors’ felicitation,"Face-off between Dhrangadhra MLA Sabariya and Jayanti Kavadiya at Halvad hospital on Thursday

Rajkot: BJP MLA from Dhrangadhra Parshottam Sabariya and former minister and veteran BJP leader Jayanti Kavadiya entered into a heated argument during a function held to honour the ‘Covid warriors’ at the Halvad government hospital in Morbi district on Thursday. They supporters also created ruckus in the hospital alleging that old BJP leaders were being ignored.

Sources said that during the function a veteran BJP workers Bipin Dave was ignored by Sabariya’s men. This led to argument between the two groups. Kavadiya termed it as an insult with led to ruckus in the hospital with supporters of both the leaders hurling abuses and coming to blows.

In a video of the incident, Sabariya is heard saying “I am accepted by the state leadership but in my constituency, I am not accepted by the workers.” Surendrangar member of parliament Mahendra Munjpara was also present at the function.

According to sources, Sabariya and Kavadiya have been bitter political rivals since long. Kavadiya had won from Dhangadhra seat on BJP ticket in 2012 assembly election. In 2017, Sabariya contested from the seat on Congress ticket and defeated Kavadiya.

","They supporters also created ruckus in the hospital alleging that old BJP leaders were being ignored.
Sources said that during the function a veteran BJP workers Bipin Dave was ignored by Sabariya’s men.
Kavadiya termed it as an insult with led to ruckus in the hospital with supporters of both the leaders hurling abuses and coming to blows.
Kavadiya had won from Dhangadhra seat on BJP ticket in 2012 assembly election.
In 2017, Sabariya contested from the seat on Congress ticket and defeated Kavadiya."
Cong: Cheap politics by KCR,"Hyderabad: The state Congress has criticised chief minister K Chandrasekhar Rao for insulting leaders of Telangana Inti Party during a press conference after his cabinet meet recently. Former MLC Ramulu Naik said it is KCR who is indulging in cheap politics, not opposition parties. “How can KCR belittle Cheruku Sudhakar who was in the forefront of Telangana agitation,” said Naik. TNN","Hyderabad: The state Congress has criticised chief minister K Chandrasekhar Rao for insulting leaders of Telangana Inti Party during a press conference after his cabinet meet recently.
Former MLC Ramulu Naik said it is KCR who is indulging in cheap politics, not opposition parties.
“How can KCR belittle Cheruku Sudhakar who was in the forefront of Telangana agitation,” said Naik."
Places of worship gear up to welcome devotees in Karnataka,"The Jain temple in Jayanagar being sanitised

Some decide to wait and watch

BENGALURU: With many places of worship expected to open their doors from Monday, several religious heads met on Saturday to chart out a plan to follow directives issued by the government to prevent Covid-19 spread.The state in consultation with religious heads has issued a Standard Operating Procedure (SOP) for temples, churches and mosques to maintain social distancing among devotees. Places of worship will open only in non-containment zones. Distribution of prasadam and holy water has been banned, though rituals can be performed with less attendance.D Veerendra Heggade, administrator (Dharmadhikari) of Dharmasthala temple, said it will reopen for the public from Monday and will follow directives issued by the government. He said Anna Daana will also resume at Dharmasthala in keeping with the norms.Srinivas Bhattar, priest at Kote Venkataramana Swamy Temple, said a meeting was convened on Saturday evening to prepare a plan of action.Syed Shafiullah, secretary, All India Milli Council, Karnataka, said they will open mosques for prayers as per the Centre’s directions. Karnataka State Minorities Commission chairman, Abdul Azeem, had issued the SOP.Bishops and several heads of churches had met chief minister BS Yediyurappa on Friday. A member from Church of South India, Karnataka Central Diocese, said, “We are waiting for the SOP, which is supposed to be issued by the bishop. It will cover the directives issued by both the state and Centre to prevent spread of the pandemic.”However, it’s learnt that some places of worship have decided not to open as they want to wait for the pandemic curve to flatten. BK Arshad, secretary, Masjid-e-Ibrahim Hinaya, has decided not to open the mosque from Monday. He said, with Covid-19 numbers increasing by the day, it’s not appropriate to do so. “I also tried to convince other masjid heads but they have decided to go ahead. I consulted epidemiologists, who suggested not to open it right now,” said Arshad.","Places of worship will open only in non-containment zones.
Karnataka State Minorities Commission chairman, Abdul Azeem, had issued the SOP.Bishops and several heads of churches had met chief minister BS Yediyurappa on Friday.
A member from Church of South India, Karnataka Central Diocese, said, “We are waiting for the SOP, which is supposed to be issued by the bishop.
BK Arshad, secretary, Masjid-e-Ibrahim Hinaya, has decided not to open the mosque from Monday.
“I also tried to convince other masjid heads but they have decided to go ahead."
BS Yediyurappa: Hunt on to find BS Yediyurappa’s successor,"BS Yediyurappa

BENGALURU: The BJP top brass has a tough task on hand — hunting for an “acceptable” successor to 78-year-old Lingayat strongman and chief minister BS Yediyurappa whenever he decides to hang up his boots.It’s a challenge for the party leadership in New Delhi, with none of the second-rung leaders showing enough promise to fill the old warhorse’s shoes. Yediyurappa will complete one year in office this July in his fourth innings as CM.“Karnataka BJP minus Yediyurappa is like a square peg in a round hole. But it has become imperative for the party to find an alternative leader before he fades into the political sunset. But whoever succeeds Yediyurappa should be a Lingayat to get instant acceptance,” said a senior party functionary.When the BJP government came to power in last July, the leadership appointed three second-rung leaders — Laxman Savadi (Lingayat) Govind Karjol (SC) and CN Ashwath Narayan (Vokkaliga) as deputy chief ministers — overlooking several seniors purportedly to groom a successor to Yediyurappa. But the trio has struggled to come out of the septuagenarian’s shadow.There’s dissatisfaction in the party over Yediyurappa’s style of functioning. The BJP leadership, though aware of the internal bickering, is treading cautiously as its attempt more than a decade ago ended in a disaster. It’s also aware that it can ill afford to lose support of Lingayat community, its core vote bank.Sources privy to inside developments say the central leadership has now “opened the forum” on the succession plan, keeping the 2023 assembly polls in mind. Karnataka is also significant since it’s BJP’s gateway to the south.Sources said the party has zeroed in on a few names and things will become clear after Rajya Sabha polls on June 21. Though the names of Lingayat leaders Jagadish Shettar, V Somanna, Basavaraj Bommai and Murgesh Nirani are doing the rounds, the party still doesn’t seem convinced that they’ll be able to take forward Yediyurappa’s legacy. Two other names which have been added to the list include Vijayapura MLA Basannagouda Patil Yatnal and Dharwad West MLA Aravind Bellad as they both belong to powerful sects of the Lingayat community.Yatnal’s strong RSS roots and his experience as Union minister may help him though his motormouth image may play spoilsport. Bellad, 50, is being perceived as the Devendra Fadnavis of Karnataka. Non-Lingayat names doing the rounds include Pralhad Joshi (Union minister) and S Suresh Kumar (both Brahmins), R Ashoka (Vokkaliga) and Aravind Limbavalli (SC), many of whom have the strong support of RSS. Yediyurappa himself is said to be pitching for his younger son BY Vijayendra, who is facing opposition’s allegations of being de-facto CM, but the question is whether he will have the backing of senior MLAs.","Yediyurappa will complete one year in office this July in his fourth innings as CM.“Karnataka BJP minus Yediyurappa is like a square peg in a round hole.
But it has become imperative for the party to find an alternative leader before he fades into the political sunset.
But the trio has struggled to come out of the septuagenarian’s shadow.There’s dissatisfaction in the party over Yediyurappa’s style of functioning.
The BJP leadership, though aware of the internal bickering, is treading cautiously as its attempt more than a decade ago ended in a disaster.
Though the names of Lingayat leaders Jagadish Shettar, V Somanna, Basavaraj Bommai and Murgesh Nirani are doing the rounds, the party still doesn’t seem convinced that they’ll be able to take forward Yediyurappa’s legacy."
Congress is creating 'political pollution': Naqvi,"NEW DELHI: Senior BJP leader and Union minister Mukhtar Abbas Naqvi took a swipe at the Congress on Tuesday, saying that instead of being a part of solution to the problems facing the country, the opposition party is creating ""political pollution"".

Speaking to reporters, the minority affairs minister said the country is witnessing a time of unprecedented crisis with coronavirus and Amphan cyclone but the opposition party is busy doing ""hit and run politics"".

""The Congress has become laboratory of political hypocrisy in pandemic period,"" he later said in a statement.

His remarks came after criticism by Congress leaders of government 's measures to combat coronavirus and revive the economy.

Instead of creating confusion among people, the Congress should try to become a part of confidence building measures in these hours of crisis, Naqvi said.

""Instead of becoming a part of solution to problem, the Congress is creating political pollution,"" he claimed.

Prime Minister Narendra Modi is working for the safety and well-being of the country and its people by taking along all sections, he said, adding that it has taken state governments into confidence in the fight against the pandemic.

""The state governments have been provided all necessary assistance to deal with the crisis. Farsighted steps taken by India to tackle the pandemic has ensured India is playing pivotal role for health and well-being of the people of the country in comparison to all the well-resourced countries of the world,"" he claimed.

","NEW DELHI: Senior BJP leader and Union minister Mukhtar Abbas Naqvi took a swipe at the Congress on Tuesday, saying that instead of being a part of solution to the problems facing the country, the opposition party is creating ""political pollution"".
""The Congress has become laboratory of political hypocrisy in pandemic period,"" he later said in a statement.
His remarks came after criticism by Congress leaders of government 's measures to combat coronavirus and revive the economy.
Instead of creating confusion among people, the Congress should try to become a part of confidence building measures in these hours of crisis, Naqvi said.
""Instead of becoming a part of solution to problem, the Congress is creating political pollution,"" he claimed."
How politics is changing office politics,"Read the full article

Join us and get access to insightful, multimedia storytelling like you have never seen before.","Read the full articleJoin us and get access to insightful, multimedia storytelling like you have never seen before."
‘Cases against Lallu politically motivated’,"Lucknow: The Congress party on Sunday said that cases against UP Congress chief Ajay Kumar Lallu were politically motivated and demanded immediate withdrawal of fake cases and release of Lallu from jail.

“Lallu was booked for helping migrant workers and labourers returning to their homes in UP. The entire act of putting him in jail shows the high high-handedness of the UP government,” said senior party leader Rajeev Shukla in an online interaction with mediapersons. He was referring to the buses' row between the UP government and Congress leadership.

On a question related to a ‘confrontational politics between the Congress and the BJP’, Shukla stated: “There is no confrontation with the state government. From the time we applied for permission, our intention was just to help migrants. We did not indulge in politics of any kind.”

“He was arrested twice – first in Agra where he sat on a demonstration to protest delay in granting of permission to allow entry of buses in the state. He was allowed to go after bail. But before he could leave, he was re-arrested in connection with the Congress’ standoff with the state government. Such a misconduct by the state government with a two-time MLA is undemocratic and uncalled for,” said Congress legislature party leader Aradhana Mishra.

Congress leader from western UP Pankaj Malik, against whom a case has been registered for bringing buses to Noida, said, “We are not afraid of any case, we will fight it out.”

","Lucknow: The Congress party on Sunday said that cases against UP Congress chief Ajay Kumar Lallu were politically motivated and demanded immediate withdrawal of fake cases and release of Lallu from jail.
“Lallu was booked for helping migrant workers and labourers returning to their homes in UP.
The entire act of putting him in jail shows the high high-handedness of the UP government,” said senior party leader Rajeev Shukla in an online interaction with mediapersons.
Such a misconduct by the state government with a two-time MLA is undemocratic and uncalled for,” said Congress legislature party leader Aradhana Mishra.
Congress leader from western UP Pankaj Malik, against whom a case has been registered for bringing buses to Noida, said, “We are not afraid of any case, we will fight it out.”"
How politics is changing office politics,"Spats over ideology are rising in the workplace as the political becomes personal

READ THE FULL STORY ON TOI+

In our increasingly polarised environment, the term ‘office politics’ has taken on new meaning. It’s not just a matter of who gets the promotion or who the boss favours, it’s about judging co-workers based on the ideology they support.At many offices, the line between healthy debates and rancour is being crossed, especially on issues like the Citizenship Amendment Act (CAA). Akash Mitra, who has spent almost a decade in an IT company, says talking politics wasn’t at all unusual in his office. “But in the last couple of years, things have gotten pretty heated,” he says, admitting that such discussions colour his opinion of colleagues. “If someone says something about a particular religion, I make sure that the information doesn’t affect work, but of course deep down I have an opinion of them.”","Spats over ideology are rising in the workplace as the political becomes personalREAD THE FULL STORY ON TOI+In our increasingly polarised environment, the term ‘office politics’ has taken on new meaning.
It’s not just a matter of who gets the promotion or who the boss favours, it’s about judging co-workers based on the ideology they support.At many offices, the line between healthy debates and rancour is being crossed, especially on issues like the Citizenship Amendment Act (CAA).
Akash Mitra, who has spent almost a decade in an IT company, says talking politics wasn’t at all unusual in his office.
“But in the last couple of years, things have gotten pretty heated,” he says, admitting that such discussions colour his opinion of colleagues.
“If someone says something about a particular religion, I make sure that the information doesn’t affect work, but of course deep down I have an opinion of them.”"
